season,week,contestant,p_elim,brier,top3_cover,observed
3,4,Mario Lopez,0.0,0.0,1.0,0
3,4,Sara Evans,0.0,0.0,1.0,0
3,4,Monique Coleman,0.0,0.0,1.0,0
3,4,Jerry Springer,0.0,0.0,1.0,0
3,4,Willa Ford,0.0,0.0,1.0,0
3,4,Vivica A. Fox,1.0,0.0,1.0,1
3,4,Joey Lawrence,0.0,0.0,1.0,0
3,4,Emmitt Smith,0.0,0.0,1.0,0
3,5,Mario Lopez,0.0,0.0,1.0,0
3,5,Sara Evans,0.0,0.0,1.0,0
3,5,Monique Coleman,0.0,0.0,1.0,0
3,5,Jerry Springer,0.0,0.0,1.0,0
3,5,Willa Ford,1.0,0.0,1.0,1
3,5,Joey Lawrence,0.0,0.0,1.0,0
3,5,Emmitt Smith,0.0,0.0,1.0,0
3,7,Mario Lopez,0.0,0.0,1.0,0
3,7,Monique Coleman,0.0,0.0,1.0,0
3,7,Jerry Springer,1.0,0.0,1.0,1
3,7,Joey Lawrence,0.0,0.0,1.0,0
3,7,Emmitt Smith,0.0,0.0,1.0,0
3,8,Mario Lopez,0.0,0.0,1.0,0
3,8,Emmitt Smith,0.0,0.0,1.0,0
3,8,Joey Lawrence,0.0,0.0,1.0,0
3,8,Monique Coleman,1.0,0.0,1.0,1
4,2,Leeza Gibbons,0.0,0.0,1.0,0
4,2,Ian Ziering,0.0,0.0,1.0,0
4,2,Joey Fatone,0.0,0.0,1.0,0
4,2,John Ratzenberger,0.0,0.0,1.0,0
4,2,Heather Mills,0.0,0.0,1.0,0
4,2,Billy Ray Cyrus,0.0,0.0,1.0,0
4,2,Laila Ali,0.0,0.0,1.0,0
4,2,Clyde Drexler,0.0,0.0,1.0,0
4,2,Paulina Porizkova,1.0,0.0,1.0,1
4,2,Apolo Anton Ohno,0.0,0.0,1.0,0
4,2,Shandi Finnessey,0.0,0.0,1.0,0
4,3,Leeza Gibbons,0.0,0.0,1.0,0
4,3,Ian Ziering,0.0,0.0,1.0,0
4,3,Joey Fatone,0.0,0.0,1.0,0
4,3,John Ratzenberger,0.0,0.0,1.0,0
4,3,Heather Mills,0.0,0.0,1.0,0
4,3,Billy Ray Cyrus,0.0,0.0,1.0,0
4,3,Laila Ali,0.0,0.0,1.0,0
4,3,Clyde Drexler,0.0,0.0,1.0,0
4,3,Apolo Anton Ohno,0.0,0.0,1.0,0
4,3,Shandi Finnessey,1.0,0.0,1.0,1
4,4,Leeza Gibbons,1.0,0.0,1.0,1
4,4,Ian Ziering,0.0,0.0,1.0,0
4,4,Joey Fatone,0.0,0.0,1.0,0
4,4,John Ratzenberger,0.0,0.0,1.0,0
4,4,Heather Mills,0.0,0.0,1.0,0
4,4,Billy Ray Cyrus,0.0,0.0,1.0,0
4,4,Laila Ali,0.0,0.0,1.0,0
4,4,Clyde Drexler,0.0,0.0,1.0,0
4,4,Apolo Anton Ohno,0.0,0.0,1.0,0
4,5,Ian Ziering,0.0,0.0,1.0,0
4,5,Joey Fatone,0.0,0.0,1.0,0
4,5,John Ratzenberger,0.0,0.0,1.0,0
4,5,Heather Mills,0.0,0.0,1.0,0
4,5,Billy Ray Cyrus,0.0,0.0,1.0,0
4,5,Laila Ali,0.0,0.0,1.0,0
4,5,Clyde Drexler,1.0,0.0,1.0,1
4,5,Apolo Anton Ohno,0.0,0.0,1.0,0
4,6,Ian Ziering,0.0,0.0,1.0,0
4,6,Joey Fatone,0.0,0.0,1.0,0
4,6,John Ratzenberger,0.0,0.0,1.0,0
4,6,Heather Mills,1.0,0.0,1.0,1
4,6,Billy Ray Cyrus,0.0,0.0,1.0,0
4,6,Laila Ali,0.0,0.0,1.0,0
4,6,Apolo Anton Ohno,0.0,0.0,1.0,0
4,7,Ian Ziering,0.0,0.0,1.0,0
4,7,Joey Fatone,0.0,0.0,1.0,0
4,7,John Ratzenberger,1.0,0.0,1.0,1
4,7,Billy Ray Cyrus,0.0,0.0,1.0,0
4,7,Laila Ali,0.0,0.0,1.0,0
4,7,Apolo Anton Ohno,0.0,0.0,1.0,0
4,8,Ian Ziering,0.0,0.0,1.0,0
4,8,Joey Fatone,0.0,0.0,1.0,0
4,8,Billy Ray Cyrus,1.0,0.0,1.0,1
4,8,Laila Ali,0.0,0.0,1.0,0
4,8,Apolo Anton Ohno,0.0,0.0,1.0,0
4,9,Ian Ziering,1.0,0.0,1.0,1
4,9,Joey Fatone,0.0,0.0,1.0,0
4,9,Laila Ali,0.0,0.0,1.0,0
4,9,Apolo Anton Ohno,0.0,0.0,1.0,0
5,1,Josie Maran,1.0,0.0,1.0,1
5,1,Mark Cuban,0.0,0.0,1.0,0
5,1,Jane Seymour,0.0,0.0,1.0,0
5,1,Mel B,0.0,0.0,1.0,0
5,1,Sabrina Bryan,0.0,0.0,1.0,0
5,1,Cameron Mathison,0.0,0.0,1.0,0
5,1,Floyd Mayweather Jr. ,0.0,0.0,1.0,0
5,1,Jennie Garth,0.0,0.0,1.0,0
5,1,Marie Osmond,0.0,0.0,1.0,0
5,1,Albert Reed,0.0,0.0,1.0,0
5,1,Wayne Newton,0.0,0.0,1.0,0
5,1,Helio Castroneves,0.0,0.0,1.0,0
5,2,Mark Cuban,0.0,0.0,1.0,0
5,2,Jane Seymour,0.0,0.0,1.0,0
5,2,Mel B,0.0,0.0,1.0,0
5,2,Sabrina Bryan,0.0,0.0,1.0,0
5,2,Cameron Mathison,0.0,0.0,1.0,0
5,2,Floyd Mayweather Jr. ,0.0,0.0,1.0,0
5,2,Jennie Garth,0.0,0.0,1.0,0
5,2,Marie Osmond,0.0,0.0,1.0,0
5,2,Albert Reed,1.0,0.0,1.0,1
5,2,Wayne Newton,0.0,0.0,1.0,0
5,2,Helio Castroneves,0.0,0.0,1.0,0
5,3,Mark Cuban,0.0,0.0,1.0,0
5,3,Jane Seymour,0.0,0.0,1.0,0
5,3,Mel B,0.0,0.0,1.0,0
5,3,Sabrina Bryan,0.0,0.0,1.0,0
5,3,Cameron Mathison,0.0,0.0,1.0,0
5,3,Floyd Mayweather Jr. ,0.0,0.0,1.0,0
5,3,Jennie Garth,0.0,0.0,1.0,0
5,3,Marie Osmond,0.0,0.0,1.0,0
5,3,Wayne Newton,1.0,0.0,1.0,1
5,3,Helio Castroneves,0.0,0.0,1.0,0
5,4,Mark Cuban,0.0,0.0,1.0,0
5,4,Jane Seymour,0.0,0.0,1.0,0
5,4,Mel B,0.0,0.0,1.0,0
5,4,Sabrina Bryan,0.0,0.0,1.0,0
5,4,Cameron Mathison,0.0,0.0,1.0,0
5,4,Floyd Mayweather Jr. ,1.0,0.0,1.0,1
5,4,Jennie Garth,0.0,0.0,1.0,0
5,4,Marie Osmond,0.0,0.0,1.0,0
5,4,Helio Castroneves,0.0,0.0,1.0,0
5,5,Mark Cuban,1.0,0.0,1.0,1
5,5,Jane Seymour,0.0,0.0,1.0,0
5,5,Mel B,0.0,0.0,1.0,0
5,5,Sabrina Bryan,0.0,0.0,1.0,0
5,5,Cameron Mathison,0.0,0.0,1.0,0
5,5,Jennie Garth,0.0,0.0,1.0,0
5,5,Marie Osmond,0.0,0.0,1.0,0
5,5,Helio Castroneves,0.0,0.0,1.0,0
5,6,Jane Seymour,0.0,0.0,1.0,0
5,6,Mel B,0.0,0.0,1.0,0
5,6,Sabrina Bryan,1.0,0.0,1.0,1
5,6,Cameron Mathison,0.0,0.0,1.0,0
5,6,Jennie Garth,0.0,0.0,1.0,0
5,6,Marie Osmond,0.0,0.0,1.0,0
5,6,Helio Castroneves,0.0,0.0,1.0,0
5,7,Jane Seymour,1.0,0.0,1.0,1
5,7,Mel B,0.0,0.0,1.0,0
5,7,Cameron Mathison,0.0,0.0,1.0,0
5,7,Jennie Garth,0.0,0.0,1.0,0
5,7,Marie Osmond,0.0,0.0,1.0,0
5,7,Helio Castroneves,0.0,0.0,1.0,0
5,8,Mel B,0.0,0.0,1.0,0
5,8,Cameron Mathison,1.0,0.0,1.0,1
5,8,Jennie Garth,0.0,0.0,1.0,0
5,8,Marie Osmond,0.0,0.0,1.0,0
5,8,Helio Castroneves,0.0,0.0,1.0,0
5,9,Jennie Garth,1.0,0.0,1.0,1
5,9,Mel B,0.0,0.0,1.0,0
5,9,Marie Osmond,0.0,0.0,1.0,0
5,9,Helio Castroneves,0.0,0.0,1.0,0
6,2,Cristian de la Fuente,0.0,0.04220775317329031,1.0,0
6,2,Jason Taylor,0.0,0.04220775317329031,1.0,0
6,2,Priscilla Presley,0.0,0.04220775317329031,1.0,0
6,2,Steve Guttenberg,0.0,0.04220775317329031,1.0,0
6,2,Marissa Jaret Winokur,0.0,0.04220775317329031,1.0,0
6,2,Penn Jillette,0.44302176696542894,0.04220775317329031,1.0,1
6,2,Kristi Yamaguchi,0.0,0.04220775317329031,1.0,0
6,2,Shannon Elizabeth,0.0,0.04220775317329031,1.0,0
6,2,Mario,0.0,0.04220775317329031,1.0,0
6,2,Marlee Matlin,0.0,0.04220775317329031,1.0,0
6,2,Adam Carolla,0.0,0.04220775317329031,1.0,0
6,2,Monica Seles,0.5569782330345711,0.04220775317329031,1.0,1
6,3,Cristian de la Fuente,0.0,0.0,1.0,0
6,3,Jason Taylor,0.0,0.0,1.0,0
6,3,Priscilla Presley,0.0,0.0,1.0,0
6,3,Steve Guttenberg,1.0,0.0,1.0,1
6,3,Marissa Jaret Winokur,0.0,0.0,1.0,0
6,3,Kristi Yamaguchi,0.0,0.0,1.0,0
6,3,Shannon Elizabeth,0.0,0.0,1.0,0
6,3,Mario,0.0,0.0,1.0,0
6,3,Marlee Matlin,0.0,0.0,1.0,0
6,3,Adam Carolla,0.0,0.0,1.0,0
6,4,Cristian de la Fuente,0.0,0.0,1.0,0
6,4,Jason Taylor,0.0,0.0,1.0,0
6,4,Priscilla Presley,0.0,0.0,1.0,0
6,4,Marissa Jaret Winokur,0.0,0.0,1.0,0
6,4,Kristi Yamaguchi,0.0,0.0,1.0,0
6,4,Shannon Elizabeth,0.0,0.0,1.0,0
6,4,Mario,0.0,0.0,1.0,0
6,4,Marlee Matlin,0.0,0.0,1.0,0
6,4,Adam Carolla,1.0,0.0,1.0,1
6,5,Cristian de la Fuente,0.0,0.0,1.0,0
6,5,Jason Taylor,0.0,0.0,1.0,0
6,5,Priscilla Presley,1.0,0.0,1.0,1
6,5,Marissa Jaret Winokur,0.0,0.0,1.0,0
6,5,Kristi Yamaguchi,0.0,0.0,1.0,0
6,5,Shannon Elizabeth,0.0,0.0,1.0,0
6,5,Mario,0.0,0.0,1.0,0
6,5,Marlee Matlin,0.0,0.0,1.0,0
6,6,Cristian de la Fuente,0.0,0.0,1.0,0
6,6,Jason Taylor,0.0,0.0,1.0,0
6,6,Marissa Jaret Winokur,0.0,0.0,1.0,0
6,6,Kristi Yamaguchi,0.0,0.0,1.0,0
6,6,Shannon Elizabeth,0.0,0.0,1.0,0
6,6,Mario,0.0,0.0,1.0,0
6,6,Marlee Matlin,1.0,0.0,1.0,1
6,7,Cristian de la Fuente,0.0,0.0,1.0,0
6,7,Jason Taylor,0.0,0.0,1.0,0
6,7,Marissa Jaret Winokur,0.0,0.0,1.0,0
6,7,Kristi Yamaguchi,0.0,0.0,1.0,0
6,7,Shannon Elizabeth,1.0,0.0,1.0,1
6,7,Mario,0.0,0.0,1.0,0
6,8,Cristian de la Fuente,0.0,0.0,1.0,0
6,8,Jason Taylor,0.0,0.0,1.0,0
6,8,Marissa Jaret Winokur,0.0,0.0,1.0,0
6,8,Kristi Yamaguchi,0.0,0.0,1.0,0
6,8,Mario,1.0,0.0,1.0,1
6,9,Cristian de la Fuente,0.0,0.0,1.0,0
6,9,Jason Taylor,0.0,0.0,1.0,0
6,9,Marissa Jaret Winokur,1.0,0.0,1.0,1
6,9,Kristi Yamaguchi,0.0,0.0,1.0,0
7,1,Ted McGinley,0.17553191489361702,0.05465839050040047,1.0,1
7,1,Warren Sapp,0.0,0.05465839050040047,1.0,0
7,1,Cloris Leachman,0.0,0.05465839050040047,1.0,0
7,1,Maurice Greene,0.0,0.05465839050040047,1.0,0
7,1,Brooke Burke,0.0,0.05465839050040047,1.0,0
7,1,Kim Kardashian,0.0,0.05465839050040047,1.0,0
7,1,Rocco DiSpirito,0.0,0.05465839050040047,1.0,0
7,1,Toni Braxton,0.0,0.05465839050040047,1.0,0
7,1,Susan Lucci,0.0,0.05465839050040047,1.0,0
7,1,Jeffrey Ross,0.824468085106383,0.05465839050040047,1.0,1
7,1,Misty May-Treanor,0.0,0.05465839050040047,1.0,0
7,1,Cody Linley,0.0,0.05465839050040047,1.0,0
7,1,Lance Bass,0.0,0.05465839050040047,1.0,0
7,2,Warren Sapp,0.0,0.0,1.0,0
7,2,Cloris Leachman,0.0,0.0,1.0,0
7,2,Maurice Greene,0.0,0.0,1.0,0
7,2,Brooke Burke,0.0,0.0,1.0,0
7,2,Rocco DiSpirito,0.0,0.0,1.0,0
7,2,Toni Braxton,0.0,0.0,1.0,0
7,2,Susan Lucci,0.0,0.0,1.0,0
7,2,Kim Kardashian,1.0,0.0,1.0,1
7,2,Misty May-Treanor,0.0,0.0,1.0,0
7,2,Cody Linley,0.0,0.0,1.0,0
7,2,Lance Bass,0.0,0.0,1.0,0
7,4,Warren Sapp,0.0,0.0,1.0,0
7,4,Cloris Leachman,0.0,0.0,1.0,0
7,4,Maurice Greene,0.0,0.0,1.0,0
7,4,Brooke Burke,0.0,0.0,1.0,0
7,4,Toni Braxton,0.0,0.0,1.0,0
7,4,Susan Lucci,0.0,0.0,1.0,0
7,4,Rocco DiSpirito,1.0,0.0,1.0,1
7,4,Cody Linley,0.0,0.0,1.0,0
7,4,Lance Bass,0.0,0.0,1.0,0
7,5,Warren Sapp,0.0,0.0,1.0,0
7,5,Cloris Leachman,0.0,0.0,1.0,0
7,5,Maurice Greene,0.0,0.0,1.0,0
7,5,Brooke Burke,0.0,0.0,1.0,0
7,5,Toni Braxton,1.0,0.0,1.0,1
7,5,Susan Lucci,0.0,0.0,1.0,0
7,5,Cody Linley,0.0,0.0,1.0,0
7,5,Lance Bass,0.0,0.0,1.0,0
7,6,Warren Sapp,0.0,0.0,1.0,0
7,6,Cloris Leachman,1.0,0.0,1.0,1
7,6,Maurice Greene,0.0,0.0,1.0,0
7,6,Brooke Burke,0.0,0.0,1.0,0
7,6,Susan Lucci,0.0,0.0,1.0,0
7,6,Cody Linley,0.0,0.0,1.0,0
7,6,Lance Bass,0.0,0.0,1.0,0
7,7,Warren Sapp,0.0,0.0,1.0,0
7,7,Maurice Greene,0.0,0.0,1.0,0
7,7,Brooke Burke,0.0,0.0,1.0,0
7,7,Susan Lucci,1.0,0.0,1.0,1
7,7,Cody Linley,0.0,0.0,1.0,0
7,7,Lance Bass,0.0,0.0,1.0,0
7,8,Warren Sapp,0.0,0.0,1.0,0
7,8,Maurice Greene,1.0,0.0,1.0,1
7,8,Brooke Burke,0.0,0.0,1.0,0
7,8,Cody Linley,0.0,0.0,1.0,0
7,8,Lance Bass,0.0,0.0,1.0,0
7,9,Brooke Burke,0.0,0.0,1.0,0
7,9,Cody Linley,1.0,0.0,1.0,1
7,9,Lance Bass,0.0,0.0,1.0,0
7,9,Warren Sapp,0.0,0.0,1.0,0
8,2,Ty Murray,0.0,0.0,1.0,0
8,2,Holly Madison,0.0,0.0,1.0,0
8,2,Melissa Rycroft,0.0,0.0,1.0,0
8,2,Shawn Johnson,0.0,0.0,1.0,0
8,2,Steve Wozniak,0.0,0.0,1.0,0
8,2,David Alan Grier,0.0,0.0,1.0,0
8,2,Denise Richards,0.0,0.0,1.0,0
8,2,Belinda Carlisle,1.0,0.0,1.0,1
8,2,Lawrence Taylor,0.0,0.0,1.0,0
8,2,Chuck Wicks,0.0,0.0,1.0,0
8,2,Gilles Marini,0.0,0.0,1.0,0
8,2,Lil' Kim,0.0,0.0,1.0,0
8,2,Steve-O,0.0,0.0,1.0,0
8,3,Ty Murray,0.0,0.0,1.0,0
8,3,Holly Madison,0.0,0.0,1.0,0
8,3,Melissa Rycroft,0.0,0.0,1.0,0
8,3,Shawn Johnson,0.0,0.0,1.0,0
8,3,Steve Wozniak,0.0,0.0,1.0,0
8,3,David Alan Grier,0.0,0.0,1.0,0
8,3,Denise Richards,1.0,0.0,1.0,1
8,3,Lawrence Taylor,0.0,0.0,1.0,0
8,3,Chuck Wicks,0.0,0.0,1.0,0
8,3,Gilles Marini,0.0,0.0,1.0,0
8,3,Lil' Kim,0.0,0.0,1.0,0
8,3,Steve-O,0.0,0.0,1.0,0
8,4,Ty Murray,0.0,0.047871725016214464,1.0,0
8,4,Holly Madison,0.38469827586206895,0.047871725016214464,1.0,1
8,4,Melissa Rycroft,0.0,0.047871725016214464,1.0,0
8,4,Shawn Johnson,0.0,0.047871725016214464,1.0,0
8,4,Steve Wozniak,0.615301724137931,0.047871725016214464,1.0,1
8,4,David Alan Grier,0.0,0.047871725016214464,1.0,0
8,4,Lawrence Taylor,0.0,0.047871725016214464,1.0,0
8,4,Chuck Wicks,0.0,0.047871725016214464,1.0,0
8,4,Gilles Marini,0.0,0.047871725016214464,1.0,0
8,4,Lil' Kim,0.0,0.047871725016214464,1.0,0
8,4,Steve-O,0.0,0.047871725016214464,1.0,0
8,5,Ty Murray,0.0,0.0,1.0,0
8,5,Melissa Rycroft,0.0,0.0,1.0,0
8,5,Shawn Johnson,0.0,0.0,1.0,0
8,5,David Alan Grier,1.0,0.0,1.0,1
8,5,Lawrence Taylor,0.0,0.0,1.0,0
8,5,Chuck Wicks,0.0,0.0,1.0,0
8,5,Gilles Marini,0.0,0.0,1.0,0
8,5,Lil' Kim,0.0,0.0,1.0,0
8,5,Steve-O,0.0,0.0,1.0,0
8,6,Ty Murray,0.0,0.0,1.0,0
8,6,Melissa Rycroft,0.0,0.0,1.0,0
8,6,Shawn Johnson,0.0,0.0,1.0,0
8,6,Lawrence Taylor,0.0,0.0,1.0,0
8,6,Chuck Wicks,0.0,0.0,1.0,0
8,6,Gilles Marini,0.0,0.0,1.0,0
8,6,Lil' Kim,0.0,0.0,1.0,0
8,6,Steve-O,1.0,0.0,1.0,1
8,7,Ty Murray,0.0,0.0,1.0,0
8,7,Melissa Rycroft,0.0,0.0,1.0,0
8,7,Shawn Johnson,0.0,0.0,1.0,0
8,7,Lawrence Taylor,1.0,0.0,1.0,1
8,7,Chuck Wicks,0.0,0.0,1.0,0
8,7,Gilles Marini,0.0,0.0,1.0,0
8,7,Lil' Kim,0.0,0.0,1.0,0
8,8,Ty Murray,0.0,0.0,1.0,0
8,8,Melissa Rycroft,0.0,0.0,1.0,0
8,8,Shawn Johnson,0.0,0.0,1.0,0
8,8,Chuck Wicks,1.0,0.0,1.0,1
8,8,Gilles Marini,0.0,0.0,1.0,0
8,8,Lil' Kim,0.0,0.0,1.0,0
8,9,Ty Murray,0.0,0.0,1.0,0
8,9,Melissa Rycroft,0.0,0.0,1.0,0
8,9,Shawn Johnson,0.0,0.0,1.0,0
8,9,Gilles Marini,0.0,0.0,1.0,0
8,9,Lil' Kim,1.0,0.0,1.0,1
8,10,Ty Murray,1.0,0.0,1.0,1
8,10,Gilles Marini,0.0,0.0,1.0,0
8,10,Melissa Rycroft,0.0,0.0,1.0,0
8,10,Shawn Johnson,0.0,0.0,1.0,0
9,1,Louie Vito,0.0,0.03125008103391496,1.0,0
9,1,Kelly Osbourne,0.0,0.03125008103391496,1.0,0
9,1,Kathy Ireland,0.0,0.03125008103391496,1.0,0
9,1,Aaron Carter,0.0,0.03125008103391496,1.0,0
9,1,Mya,0.0,0.03125008103391496,1.0,0
9,1,Natalie Coughlin,0.0,0.03125008103391496,1.0,0
9,1,Tom DeLay,0.0,0.03125008103391496,1.0,0
9,1,Macy Gray,0.500805152979066,0.03125008103391496,1.0,1
9,1,Debi Mazar,0.0,0.03125008103391496,1.0,0
9,1,Donny Osmond,0.0,0.03125008103391496,1.0,0
9,1,Joanna Krupa,0.0,0.03125008103391496,1.0,0
9,1,Ashley Hamiliton,0.499194847020934,0.03125008103391496,1.0,1
9,1,Chuck Liddell,0.0,0.03125008103391496,1.0,0
9,1,Melissa Joan Hart,0.0,0.03125008103391496,1.0,0
9,1,Michael Irvin,0.0,0.03125008103391496,1.0,0
9,1,Mark Dacascos,0.0,0.03125008103391496,1.0,0
9,2,Louie Vito,0.0,0.0,1.0,0
9,2,Kelly Osbourne,0.0,0.0,1.0,0
9,2,Kathy Ireland,1.0,0.0,1.0,1
9,2,Aaron Carter,0.0,0.0,1.0,0
9,2,Mya,0.0,0.0,1.0,0
9,2,Tom DeLay,0.0,0.0,1.0,0
9,2,Donny Osmond,0.0,0.0,1.0,0
9,2,Debi Mazar,0.0,0.0,1.0,0
9,2,Chuck Liddell,0.0,0.0,1.0,0
9,2,Joanna Krupa,0.0,0.0,1.0,0
9,2,Natalie Coughlin,0.0,0.0,1.0,0
9,2,Melissa Joan Hart,0.0,0.0,1.0,0
9,2,Michael Irvin,0.0,0.0,1.0,0
9,2,Mark Dacascos,0.0,0.0,1.0,0
9,3,Louie Vito,0.0,0.0,1.0,0
9,3,Kelly Osbourne,0.0,0.0,1.0,0
9,3,Aaron Carter,0.0,0.0,1.0,0
9,3,Mya,0.0,0.0,1.0,0
9,3,Tom DeLay,0.0,0.0,1.0,0
9,3,Donny Osmond,0.0,0.0,1.0,0
9,3,Debi Mazar,1.0,0.0,1.0,1
9,3,Chuck Liddell,0.0,0.0,1.0,0
9,3,Joanna Krupa,0.0,0.0,1.0,0
9,3,Natalie Coughlin,0.0,0.0,1.0,0
9,3,Melissa Joan Hart,0.0,0.0,1.0,0
9,3,Michael Irvin,0.0,0.0,1.0,0
9,3,Mark Dacascos,0.0,0.0,1.0,0
9,4,Louie Vito,0.0,0.0,1.0,0
9,4,Kelly Osbourne,0.0,0.0,1.0,0
9,4,Aaron Carter,0.0,0.0,1.0,0
9,4,Mya,0.0,0.0,1.0,0
9,4,Donny Osmond,0.0,0.0,1.0,0
9,4,Chuck Liddell,1.0,0.0,1.0,1
9,4,Joanna Krupa,0.0,0.0,1.0,0
9,4,Natalie Coughlin,0.0,0.0,1.0,0
9,4,Melissa Joan Hart,0.0,0.0,1.0,0
9,4,Michael Irvin,0.0,0.0,1.0,0
9,4,Mark Dacascos,0.0,0.0,1.0,0
9,5,Louie Vito,0.0,0.0,1.0,0
9,5,Kelly Osbourne,0.0,0.0,1.0,0
9,5,Aaron Carter,0.0,0.0,1.0,0
9,5,Mya,0.0,0.0,1.0,0
9,5,Donny Osmond,0.0,0.0,1.0,0
9,5,Joanna Krupa,0.0,0.0,1.0,0
9,5,Natalie Coughlin,1.0,0.0,1.0,1
9,5,Melissa Joan Hart,0.0,0.0,1.0,0
9,5,Michael Irvin,0.0,0.0,1.0,0
9,5,Mark Dacascos,0.0,0.0,1.0,0
